2018-06-01 08:38:40 startup archives unpack
2018-06-01 08:38:40 install java-common:all <none> 0.63ubuntu1~02
2018-06-01 08:38:40 status half-installed java-common:all 0.63ubuntu1~02
2018-06-01 08:38:40 status triggers-pending man-db:amd64 2.8.3-2
2018-06-01 08:38:40 status unpacked java-common:all 0.63ubuntu1~02
2018-06-01 08:38:40 status unpacked java-common:all 0.63ubuntu1~02
2018-06-01 08:38:40 install openjdk-11-jre-headless:amd64 <none> 10.0.1+10-3ubuntu1
2018-06-01 08:38:40 status half-installed openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:44 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:44 status unpacked openjdk-11-jre-headless:amd64 10.0.1+10-3ubuntu1
2018-06-01 08:38:44 install default-jre-headless:amd64 <none> 2:1.10-63ubuntu1~02
2018-06-01 08:38:44 status half-installed default-jre-headless:amd64 2:1.10-63ubuntu1~02
2018-06-01 08:38:44 status unpacked default-jre-headless:amd64 2:1.10-63ubuntu1~02
2018-06-01 08:38:44 status unpacked default-jre-headless:amd64 2:1.10-63ubuntu1~02
2018-06-01 08:38:44 install ca-certificates-java:all <none> 20170930ubuntu1
2018-06-01 08:38:44 status triggers-pending ca-certificates:all 20180409
2018-06-01 08:38:44 status not-installed ca-certificates-java:all <none>
2018-06-01 08:38:44 status half-installed ca-certificates-java:all 20170930ubuntu1
2018-06-01 08:38:44 status unpacked ca-certificates-java:all 20170930ubuntu1
2018-06-01 08:38:44 status unpacked ca-certificates-java:all 20170930ubuntu1
2018-06-01 08:38:44 install libatk-wrapper-java:all <none> 0.33.3-20ubuntu0.1
2018-06-01 08:38:44 status half-installed libatk-wrapper-java:all 0.33.3-20ubuntu0.1
2018-06-01 08:38:44 status unpacked libatk-wrapper-java:all 0.33.3-20ubuntu0.1
2018-06-01 08:38:44 status unpacked libatk-wrapper-java:all 0.33.3-20ubuntu0.1
2018-06-01 08:38:44 install libatk-wrapper-java-jni:amd64 <none> 0.33.3-20ubuntu0.1
2018-06-01 08:38:44 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2018-06-01 08:38:44 status half-installed libatk-wrapper-java-jni:amd64 0.33.3-20ubuntu0.1
2018-06-01 08:38:44 status unpacked libatk-wrapper-java-jni:amd64 0.33.3-20ubuntu0.1
